Day,Local Time,Dir,Speed/Gust (km/h),Temp/Feels Like,Humidity,Pressure (mb),Cloud Amount,Precip Amount,Weather
,16:00, N,9 / 10,12 / 11°C,53% ,1027,Low level cloud: 0% Mid level cloud: 0% High level cloud: 17% Most Significant Cloud Type: high17% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,7 / 9,10 / 9°C,67% ,1028,Low level cloud: 0% Mid level cloud: 0% High level cloud: 2% Most Significant Cloud Type: high1% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,4 / 5,7 / 7°C,70% ,1029,Low level cloud: 0% Mid level cloud: 0% High level cloud: 9% Most Significant Cloud Type: high9% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Sat 09Nov,01:00, SSE,9 / 13,9 / 8°C,91% ,1022,Low level cloud: 43% Mid level cloud: 31% High level cloud: 91% Most Significant Cloud Type: low64% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,04:00, SSE,3 / 15,9 / 8°C,91% ,1022,Low level cloud: 77% Mid level cloud: 62% High level cloud: 72% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,07:00, S,9 / 11,11 / 9°C,89% ,1022,Low level cloud: 82% Mid level cloud: 85% High level cloud: 32% Most Significant Cloud Type: low100% ,Expect 0.4 of precipitation over the past 3 hours.0.4,Light drizzle
,10:00, SW,3 / 12,10 / 9°C,92% ,1023,Low level cloud: 91% Mid level cloud: 85% High level cloud: 4% Most Significant Cloud Type: low100% ,Expect 1.6 of precipitation over the past 3 hours.1.6,Light rain
,13:00, SSE,4 / 11,11 / 10°C,87% ,1023,Low level cloud: 74% Mid level cloud: 45% High level cloud: 66% Most Significant Cloud Type: low97% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,16:00, SSW,5 / 10,11 / 10°C,82% ,1023,Low level cloud: 87% Mid level cloud: 44% High level cloud: 30% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,19:00, S,6 / 9,11 / 10°C,86% ,1023,Low level cloud: 79% Mid level cloud: 21% High level cloud: 0% Most Significant Cloud Type: low85% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,22:00, SSW,4 / 5,11 / 11°C,88% ,1023,Low level cloud: 83% Mid level cloud: 27% High level cloud: 18% Most Significant Cloud Type: low94% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
Sun 10Nov,19:00, NNE,7 / 9,11 / 10°C,91% ,1025,Low level cloud: 23% Mid level cloud: 3% High level cloud: 81% Most Significant Cloud Type: low33% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, NNE,5 / 6,11 / 11°C,95% ,1026,Low level cloud: 47% Mid level cloud: 4% High level cloud: 32% Most Significant Cloud Type: low51% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
Mon 11Nov,01:00, NNE,4 / 9,11 / 10°C,96% ,1026,Low level cloud: 37% Mid level cloud: 22% High level cloud: 19% Most Significant Cloud Type: low47% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,04:00, NNE,4 / 2,11 / 11°C,94% ,1026,Low level cloud: 9% Mid level cloud: 43% High level cloud: 72% Most Significant Cloud Type: medium72% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,07:00, N,3 / 2,11 / 11°C,89% ,1025,Low level cloud: 0% Mid level cloud: 46% High level cloud: 95% Most Significant Cloud Type: medium50% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,10:00, N,6 / 9,12 / 12°C,76% ,1025,Low level cloud: 0% Mid level cloud: 99% High level cloud: 16% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,13:00, N,5 / 11,14 / 13°C,67% ,1023,Low level cloud: 0% Mid level cloud: 45% High level cloud: 0% Most Significant Cloud Type: medium45% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,16:00, N,5 / 11,14 / 13°C,71% ,1021,Low level cloud: 0% Mid level cloud: 12% High level cloud: 0% Most Significant Cloud Type: medium11% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,3 / 13,12 / 11°C,79% ,1021,Low level cloud: 0% Mid level cloud: 12% High level cloud: 1% Most Significant Cloud Type: medium11% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, SE,1 / 11,12 / 11°C,78% ,1020,Low level cloud: 0% Mid level cloud: 12% High level cloud: 32% Most Significant Cloud Type: medium13% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Tue 12Nov,01:00, N,4 / 9,11 / 10°C,74% ,1020,Low level cloud: 0% Mid level cloud: 94% High level cloud: 79% Most Significant Cloud Type: medium97% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,04:00, NNW,3 / 9,10 / 9°C,73% ,1018,Low level cloud: 0% Mid level cloud: 94% High level cloud: 85% Most Significant Cloud Type: medium97% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,07:00, W,5 / 13,9 / 8°C,73% ,1016,Low level cloud: 0% Mid level cloud: 86% High level cloud: 88% Most Significant Cloud Type: medium89% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Overcast skies
,10:00, SE,5 / 9,11 / 10°C,90% ,1016,Low level cloud: 56% Mid level cloud: 77% High level cloud: 100% Most Significant Cloud Type: low95% ,Expect 3.8 of precipitation over the past 3 hours.3.8,Moderate rain
,13:00, SSW,8 / 9,14 / 14°C,89% ,1016,Low level cloud: 98% Mid level cloud: 89% High level cloud: 3% Most Significant Cloud Type: low100% ,Expect 6.0 of precipitation over the past 3 hours.6.0,Moderate rain
,16:00, SSE,5 / 6,13 / 13°C,89% ,1016,Low level cloud: 87% Mid level cloud: 45% High level cloud: 32% Most Significant Cloud Type: low100% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Light drizzle
,19:00, S,3 / 9,11 / 10°C,93% ,1017,Low level cloud: 92% Mid level cloud: 30% High level cloud: 35% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,22:00, SE,3 / 9,11 / 10°C,92% ,1018,Low level cloud: 80% Mid level cloud: 57% High level cloud: 14% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
Wed 13Nov,01:00, NNE,1 / 2,12 / 12°C,94% ,1019,Low level cloud: 78% Mid level cloud: 46% High level cloud: 16% Most Significant Cloud Type: low96% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,04:00, NNE,4 / 5,9 / 10°C,97% ,1018,Low level cloud: 60% Mid level cloud: 0% High level cloud: 100% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Fog
,07:00, NNE,4 / 4,10 / 10°C,97% ,1018,Low level cloud: 53% Mid level cloud: 0% High level cloud: 68% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Fog
,10:00, NNE,6 / 12,10 / 9°C,86% ,1017,Low level cloud: 25% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: low24% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,13:00, N,8 / 10,18 / 18°C,72% ,1015,Low level cloud: 0% Mid level cloud: 5% High level cloud: 3% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,9 / 10,17 / 17°C,80% ,1014,Low level cloud: 0% Mid level cloud: 10% High level cloud: 32% Most Significant Cloud Type: medium11% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,8 / 9,11 / 10°C,91% ,1014,Low level cloud: 22% Mid level cloud: 21% High level cloud: 100% Most Significant Cloud Type: low41% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, NNE,5 / 5,11 / 11°C,91% ,1014,Low level cloud: 12% Mid level cloud: 45% High level cloud: 100% Most Significant Cloud Type: medium82% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
Thu 14Nov,01:00, NE,4 / 5,11 / 11°C,83% ,1013,Low level cloud: 0% Mid level cloud: 73% High level cloud: 86% Most Significant Cloud Type: medium76% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light drizzle
,04:00, NNE,3 / 4,10 / 10°C,82% ,1013,Low level cloud: 0% Mid level cloud: 60% High level cloud: 100% Most Significant Cloud Type: medium63% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Cloudy skies
,07:00, SE,2 / 3,11 / 11°C,81% ,1013,Low level cloud: 0% Mid level cloud: 83% High level cloud: 100% Most Significant Cloud Type: medium87% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,10:00, S,4 / 5,11 / 12°C,72% ,1013,Low level cloud: 0% Mid level cloud: 45% High level cloud: 100% Most Significant Cloud Type: medium48% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,13:00, SSW,9 / 11,19 / 18°C,64% ,1013,Low level cloud: 0% Mid level cloud: 45% High level cloud: 41% Most Significant Cloud Type: medium47% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,16:00, SSW,4 / 4,18 / 18°C,73% ,1013,Low level cloud: 1% Mid level cloud: 53% High level cloud: 100% Most Significant Cloud Type: medium58% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,19:00, SSE,7 / 8,13 / 13°C,91% ,1016,Low level cloud: 72% Mid level cloud: 45% High level cloud: 100% Most Significant Cloud Type: low99% ,Expect 3.4 of precipitation over the past 3 hours.3.4,Moderate rain
,22:00, SSW,10 / 12,13 / 13°C,89% ,1018,Low level cloud: 33% Mid level cloud: 10% High level cloud: 100% Most Significant Cloud Type: low48% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Patchy rain possible
Fri 15Nov,01:00, S,11 / 13,13 / 12°C,94% ,1019,Low level cloud: 32% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: low32% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,04:00, S,10 / 13,10 / 9°C,95% ,1020,Low level cloud: 44% Mid level cloud: 48% High level cloud: 0% Most Significant Cloud Type: low60% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Mist
,07:00, S,9 / 11,11 / 10°C,94% ,1022,Low level cloud: 39% Mid level cloud: 45% High level cloud: 14% Most Significant Cloud Type: low56% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Light rain shower
,10:00, SSW,12 / 16,12 / 11°C,81% ,1023,Low level cloud: 60% Mid level cloud: 30% High level cloud: 17% Most Significant Cloud Type: low72% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light rain shower
,13:00, SSW,12 / 14,19 / 19°C,70% ,1023,Low level cloud: 27% Mid level cloud: 45% High level cloud: 32% Most Significant Cloud Type: low46% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Patchy rain possible
,16:00, SSW,9 / 10,18 / 17°C,77% ,1024,Low level cloud: 6% Mid level cloud: 18% High level cloud: 32% Most Significant Cloud Type: medium35% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Partly cloudy skies
,19:00, S,6 / 7,13 / 12°C,89% ,1025,Low level cloud: 12% Mid level cloud: 19% High level cloud: 15% Most Significant Cloud Type: low20% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Clear skies
,22:00, SSE,4 / 4,11 / 12°C,92% ,1026,Low level cloud: 52% Mid level cloud: 16% High level cloud: 3% Most Significant Cloud Type: low57% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
Sun 17Nov,01:00, SW,10 / 18,12 / 11°C,75% ,1020,Low level cloud: 25% Mid level cloud: 97% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,04:00, SSW,9 / 21,12 / 10°C,78% ,1019,Low level cloud: 79% Mid level cloud: 83% High level cloud: 100% Most Significant Cloud Type: low100% ,Expect 0.6 of precipitation over the past 3 hours.0.6,Light drizzle
,07:00, SSW,11 / 19,12 / 10°C,85% ,1019,Low level cloud: 91% Mid level cloud: 90% High level cloud: 33% Most Significant Cloud Type: low100% ,Expect 2.6 of precipitation over the past 3 hours.2.6,Moderate rain
,10:00, SSW,19 / 22,13 / 11°C,82% ,1018,Low level cloud: 67% Mid level cloud: 30% High level cloud: 0% Most Significant Cloud Type: low77% ,Expect 1.7 of precipitation over the past 3 hours.1.7,Light rain
,13:00, SSW,23 / 27,14 / 12°C,82% ,1019,Low level cloud: 43% Mid level cloud: 19% High level cloud: 12% Most Significant Cloud Type: low50% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Patchy light drizzle
,16:00, SW,9 / 18,14 / 13°C,86% ,1019,Low level cloud: 43% Mid level cloud: 18% High level cloud: 30% Most Significant Cloud Type: low52% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Partly cloudy skies
,19:00, SSE,5 / 13,13 / 12°C,94% ,1020,Low level cloud: 47% Mid level cloud: 3% High level cloud: 14% Most Significant Cloud Type: low49% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,22:00, SSE,5 / 9,12 / 12°C,97% ,1021,Low level cloud: 65% Mid level cloud: 3% High level cloud: 20% Most Significant Cloud Type: low68% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
Mon 18Nov,01:00, SSW,4 / 6,12 / 12°C,95% ,1020,Low level cloud: 58% Mid level cloud: 13% High level cloud: 100% Most Significant Cloud Type: low74% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,04:00, E,1 / 7,11 / 10°C,96% ,1017,Low level cloud: 64% Mid level cloud: 3% High level cloud: 100% Most Significant Cloud Type: low77% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,07:00, ENE,2 / 8,10 / 10°C,95% ,1014,Low level cloud: 37% Mid level cloud: 82% High level cloud: 100% Most Significant Cloud Type: low77% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Mist
,10:00, SSW,3 / 5,11 / 11°C,88% ,1012,Low level cloud: 30% Mid level cloud: 54% High level cloud: 100% Most Significant Cloud Type: low60% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,13:00, ESE,6 / 9,11 / 10°C,88% ,1009,Low level cloud: 97% Mid level cloud: 98% High level cloud: 3% Most Significant Cloud Type: low100% ,Expect 2.8 of precipitation over the past 3 hours.2.8,Moderate rain
,16:00, N,5 / 13,11 / 10°C,92% ,1004,Low level cloud: 95% Mid level cloud: 88% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 4.3 of precipitation over the past 3 hours.4.3,Moderate rain
,19:00, SSE,13 / 29,11 / 8°C,90% ,1003,Low level cloud: 51% Mid level cloud: 20% High level cloud: 0% Most Significant Cloud Type: low58% ,Expect 6.3 of precipitation over the past 3 hours.6.3,Moderate rain at times
,22:00, SSW,28 / 42,10 / 7°C,85% ,1004,Low level cloud: 98% Mid level cloud: 78% High level cloud: 1% Most Significant Cloud Type: low100% ,Expect 4.5 of precipitation over the past 3 hours.4.5,Moderate rain
Sat 30Nov,01:00, NE,2 / 15,-1 / -3°C,73% ,1015,Low level cloud: 0% Mid level cloud: 2% High level cloud: 13% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, NE,3 / 8,-1 / -2°C,70% ,1017,Low level cloud: 0% Mid level cloud: 4% High level cloud: 8% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NE,4 / 10,0 / -2°C,72% ,1018,Low level cloud: 0% Mid level cloud: 5% High level cloud: 0% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, NNE,3 / 13,2 / -1°C,52% ,1019,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, NE,6 / 20,6 / 3°C,37% ,1018,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, NNE,8 / 25,5 / 2°C,45% ,1018,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: medium1% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NE,7 / 23,3 / -1°C,57% ,1017,Low level cloud: 0% Mid level cloud: 46% High level cloud: 32% Most Significant Cloud Type: medium47% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, NNE,7 / 21,3 / -1°C,57% ,1017,Low level cloud: 0% Mid level cloud: 31% High level cloud: 76% Most Significant Cloud Type: medium33% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
Sun 01Dec,19:00, N,3 / 19,4 / 0°C,92% ,1017,Low level cloud: 81% Mid level cloud: 58% High level cloud: 33% Most Significant Cloud Type: low100% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
